# Error as function of iteration number for Sphere, Ackley, and Rastrigin functions
# Dimension: 6
# Particles: 6000
# Inertia: 0.6571
# C_1: 1.6319
# C_2: 0.6239
Iterations,Sphere_serial,Rastrigin_serial,Ackley_serial,Sphere_parallel,Rastrigin_parllel,Ackley_parallel
265,1.03405e-44,0,0,2.24595e-41,0,0
266,9.64396e-45,0,0,2.24595e-41,0,0
267,3.27307e-45,0,0,1.54134e-41,0,0
268,8.51626e-46,0,0,1.19008e-41,0,0
269,8.51626e-46,0,0,1.19008e-41,0,0
270,8.51626e-46,0,0,1.19008e-41,0,0
271,6.88377e-46,0,0,9.66452e-42,0,0
272,4.10431e-46,0,0,7.80869e-42,0,0
273,3.82076e-46,0,0,6.23592e-42,0,0
274,2.3484e-46,0,0,3.38436e-42,0,0
275,1.52495e-46,0,0,1.75041e-42,0,0
276,1.52495e-46,0,0,1.75041e-42,0,0
277,1.25036e-46,0,0,6.09119e-43,0,0
278,1.10215e-46,0,0,6.09119e-43,0,0
279,7.1305e-47,0,0,1.85407e-43,0,0
280,4.04285e-47,0,0,1.85407e-43,0,0
281,3.45423e-47,0,0,1.85407e-43,0,0
282,3.38015e-47,0,0,1.85407e-43,0,0
283,1.31598e-47,0,0,5.70514e-44,0,0
284,6.59215e-48,0,0,5.70514e-44,0,0
285,4.93258e-48,0,0,5.70514e-44,0,0
286,3.33419e-48,0,0,5.70514e-44,0,0
287,2.33298e-48,0,0,5.70514e-44,0,0
288,1.14573e-48,0,0,4.35076e-44,0,0
289,6.77586e-49,0,0,4.35076e-44,0,0
290,2.37152e-49,0,0,3.45912e-44,0,0
291,2.37152e-49,0,0,3.45912e-44,0,0
292,1.67862e-49,0,0,2.20973e-44,0,0
293,1.55334e-49,0,0,1.46492e-44,0,0
294,1.08169e-49,0,0,1.46492e-44,0,0
295,9.66441e-50,0,0,1.13579e-44,0,0
296,9.65112e-50,0,0,1.13579e-44,0,0
297,5.19347e-50,0,0,4.50856e-45,0,0
298,1.5747e-50,0,0,4.50856e-45,0,0
299,1.5747e-50,0,0,3.91272e-45,0,0
300,1.5747e-50,0,0,2.41894e-45,0,0
301,2.7278e-51,0,0,2.41894e-45,0,0
302,2.7278e-51,0,0,1.14821e-45,0,0
303,2.7278e-51,0,0,7.63414e-46,0,0
304,1.99934e-51,0,0,7.63414e-46,0,0
305,1.99934e-51,0,0,5.17487e-46,0,0
306,1.99934e-51,0,0,5.17487e-46,0,0
307,5.14349e-52,0,0,3.83471e-46,0,0
308,5.14349e-52,0,0,3.7269e-46,0,0
309,4.04291e-52,0,0,1.24953e-46,0,0
310,2.96042e-52,0,0,7.35844e-47,0,0
311,1.70565e-52,0,0,7.35844e-47,0,0
312,1.61915e-52,0,0,7.35844e-47,0,0
313,5.72965e-53,0,0,6.5656e-47,0,0
314,5.72965e-53,0,0,4.99351e-47,0,0
315,3.94573e-53,0,0,6.92161e-48,0,0
316,2.62481e-53,0,0,6.92161e-48,0,0
317,2.62481e-53,0,0,6.92161e-48,0,0
318,5.32933e-54,0,0,6.68468e-48,0,0
319,1.58576e-54,0,0,4.30125e-48,0,0
320,1.58576e-54,0,0,1.20352e-48,0,0
321,1.58576e-54,0,0,1.20352e-48,0,0
322,1.25504e-54,0,0,1.01897e-48,0,0
323,1.0063e-54,0,0,5.45529e-49,0,0
324,9.66224e-55,0,0,3.83087e-49,0,0
325,2.6269e-55,0,0,3.66167e-49,0,0
326,2.6269e-55,0,0,3.66167e-49,0,0
327,2.43703e-55,0,0,3.54321e-49,0,0
328,1.27342e-55,0,0,7.48806e-50,0,0
329,1.27342e-55,0,0,7.48806e-50,0,0
330,1.27342e-55,0,0,7.48806e-50,0,0
331,1.02987e-55,0,0,7.48806e-50,0,0
332,5.78991e-56,0,0,7.48806e-50,0,0
333,4.48556e-56,0,0,4.38722e-50,0,0
334,3.64844e-56,0,0,2.93074e-50,0,0
335,1.43309e-56,0,0,1.6677e-50,0,0
336,1.43309e-56,0,0,1.34232e-50,0,0
337,1.32635e-56,0,0,7.88656e-51,0,0
338,4.10674e-57,0,0,7.88656e-51,0,0
339,3.18308e-57,0,0,5.74645e-51,0,0
340,2.79775e-57,0,0,5.00899e-51,0,0
341,2.79775e-57,0,0,1.6429e-51,0,0
342,1.20736e-57,0,0,3.66999e-52,0,0
343,9.30181e-58,0,0,3.58988e-52,0,0
344,5.37761e-58,0,0,3.58988e-52,0,0
345,4.82376e-58,0,0,3.58988e-52,0,0
346,1.56422e-58,0,0,3.58988e-52,0,0
347,1.56422e-58,0,0,2.30379e-52,0,0
348,7.63702e-59,0,0,2.30379e-52,0,0
349,7.63702e-59,0,0,2.30379e-52,0,0
350,4.2878e-59,0,0,1.29024e-52,0,0
351,4.2878e-59,0,0,5.85354e-53,0,0
352,1.86692e-59,0,0,5.11396e-53,0,0
353,1.86692e-59,0,0,5.11396e-53,0,0
354,1.38423e-59,0,0,3.71723e-53,0,0
355,1.34874e-59,0,0,3.4452e-53,0,0
356,9.54968e-60,0,0,1.90957e-53,0,0
357,3.68779e-60,0,0,9.17726e-54,0,0
358,3.68779e-60,0,0,9.17726e-54,0,0
359,2.79821e-60,0,0,9.17726e-54,0,0
360,1.75974e-60,0,0,8.41431e-54,0,0
361,1.06304e-60,0,0,4.42841e-54,0,0
362,5.78328e-61,0,0,2.58469e-54,0,0
363,5.78328e-61,0,0,2.15718e-54,0,0
364,1.75112e-61,0,0,1.38149e-54,0,0
365,1.10341e-61,0,0,1.23573e-54,0,0
366,1.10341e-61,0,0,9.66398e-55,0,0
367,9.28352e-62,0,0,2.69607e-55,0,0
368,7.15051e-62,0,0,2.69607e-55,0,0
369,6.45902e-62,0,0,1.34221e-55,0,0
370,4.21172e-62,0,0,1.34221e-55,0,0
371,1.94469e-62,0,0,1.34221e-55,0,0
372,1.94469e-62,0,0,5.41107e-56,0,0
373,8.38387e-63,0,0,4.59598e-56,0,0
374,4.53899e-63,0,0,4.59598e-56,0,0
375,3.71805e-63,0,0,3.76185e-56,0,0
376,3.71805e-63,0,0,1.72209e-56,0,0
377,1.52753e-63,0,0,1.72209e-56,0,0
378,1.41896e-63,0,0,1.07092e-56,0,0
379,1.97668e-64,0,0,1.36038e-57,0,0
380,1.97668e-64,0,0,1.36038e-57,0,0
381,1.72632e-64,0,0,1.36038e-57,0,0
382,1.72632e-64,0,0,1.36038e-57,0,0
383,1.72632e-64,0,0,1.17388e-57,0,0
384,1.27984e-64,0,0,1.17388e-57,0,0
385,1.27984e-64,0,0,1.17388e-57,0,0
386,1.19682e-64,0,0,8.77875e-58,0,0
387,1.68247e-65,0,0,3.32655e-58,0,0
388,1.68247e-65,0,0,3.32655e-58,0,0
389,1.68247e-65,0,0,2.577e-58,0,0
390,7.70627e-66,0,0,9.35405e-59,0,0
391,7.70627e-66,0,0,7.02396e-59,0,0
392,5.06403e-66,0,0,3.5068e-59,0,0
393,3.19831e-66,0,0,3.5068e-59,0,0
