# Error as function of iteration number for Sphere, Ackley, and Rastrigin functions
# Dimension: 6
# Particles: 6000
# Inertia: 0.6571
# C_1: 1.6319
# C_2: 0.6239
Iterations,Sphere_serial,Rastrigin_serial,Ackley_serial,Sphere_parallel,Rastrigin_parllel,Ackley_parallel
927,1.83889e-151,0,0,6.2045e-122,0,0
928,1.12839e-151,0,0,6.2045e-122,0,0
929,9.11121e-152,0,0,5.87591e-122,0,0
930,1.82005e-152,0,0,4.54662e-122,0,0
931,1.82005e-152,0,0,3.73907e-122,0,0
932,1.82005e-152,0,0,3.48512e-122,0,0
933,1.54781e-152,0,0,3.19441e-122,0,0
934,1.38831e-152,0,0,1.67755e-122,0,0
935,1.38831e-152,0,0,8.82794e-123,0,0
936,1.08802e-152,0,0,8.82794e-123,0,0
937,5.40341e-153,0,0,3.28786e-123,0,0
938,4.01153e-153,0,0,2.77721e-123,0,0
939,1.36079e-153,0,0,1.57795e-123,0,0
940,1.36079e-153,0,0,1.57795e-123,0,0
941,1.36079e-153,0,0,1.57795e-123,0,0
942,6.0005e-154,0,0,1.04013e-123,0,0
943,6.0005e-154,0,0,6.96218e-124,0,0
944,2.90196e-154,0,0,6.96218e-124,0,0
945,1.48754e-154,0,0,6.96218e-124,0,0
946,1.22912e-154,0,0,5.85512e-124,0,0
947,6.418e-155,0,0,3.88368e-124,0,0
948,4.39699e-155,0,0,3.88368e-124,0,0
949,3.60754e-155,0,0,3.53252e-124,0,0
950,3.60754e-155,0,0,3.53252e-124,0,0
951,1.94496e-155,0,0,3.53252e-124,0,0
952,9.05531e-156,0,0,3.36189e-124,0,0
953,9.05531e-156,0,0,3.07428e-124,0,0
954,9.05531e-156,0,0,3.06165e-124,0,0
955,9.05531e-156,0,0,2.32128e-124,0,0
956,5.81693e-156,0,0,2.32128e-124,0,0
957,5.64256e-156,0,0,1.98606e-124,0,0
958,2.22097e-156,0,0,1.34571e-124,0,0
959,1.1311e-156,0,0,5.8462e-125,0,0
960,1.08532e-156,0,0,5.8462e-125,0,0
961,4.95584e-157,0,0,2.94392e-125,0,0
962,4.95584e-157,0,0,1.26809e-125,0,0
963,4.95584e-157,0,0,1.26809e-125,0,0
964,4.642e-157,0,0,1.06785e-125,0,0
965,2.59463e-157,0,0,7.98324e-126,0,0
966,1.10318e-157,0,0,7.98324e-126,0,0
967,1.10318e-157,0,0,7.98324e-126,0,0
968,1.10318e-157,0,0,3.93033e-126,0,0
969,6.3362e-158,0,0,3.93033e-126,0,0
970,5.12493e-158,0,0,3.93033e-126,0,0
971,3.20143e-158,0,0,3.4394e-126,0,0
972,1.37636e-158,0,0,2.6443e-126,0,0
973,6.77843e-159,0,0,1.70066e-126,0,0
974,6.77843e-159,0,0,1.70066e-126,0,0
975,6.77843e-159,0,0,1.40226e-126,0,0
976,6.17628e-159,0,0,5.19257e-127,0,0
977,5.12367e-159,0,0,4.6128e-127,0,0
978,2.60932e-159,0,0,3.45218e-127,0,0
979,1.55699e-159,0,0,3.45218e-127,0,0
980,4.46651e-160,0,0,3.31596e-127,0,0
981,3.28048e-160,0,0,1.83473e-127,0,0
982,3.28048e-160,0,0,4.88561e-128,0,0
983,3.28048e-160,0,0,4.88561e-128,0,0
984,3.28048e-160,0,0,3.15755e-128,0,0
985,1.91625e-160,0,0,2.76374e-128,0,0
986,7.02989e-161,0,0,9.22047e-129,0,0
987,5.28058e-161,0,0,9.22047e-129,0,0
988,3.06686e-161,0,0,9.22047e-129,0,0
989,1.64194e-161,0,0,8.36088e-129,0,0
990,1.64194e-161,0,0,4.9088e-129,0,0
991,1.64194e-161,0,0,3.54009e-129,0,0
992,7.50569e-162,0,0,1.19528e-129,0,0
993,7.50569e-162,0,0,9.55832e-130,0,0
994,4.48738e-162,0,0,9.55832e-130,0,0
995,4.48738e-162,0,0,4.21787e-130,0,0
996,2.9607e-162,0,0,4.21787e-130,0,0
997,2.48586e-162,0,0,2.57738e-130,0,0
998,1.30663e-162,0,0,1.70727e-130,0,0
999,1.30663e-162,0,0,1.70727e-130,0,0
